"bird_sp","bird_num","f_key","p_key"
g_casta,3,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[3]
cormo,2,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[4]
h_cendre,13,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[5]
g_aigrette,17,uuid:67912a44-a518-446e-83b1-5c42a253776f,uuid:67912a44-a518-446e-83b1-5c42a253776f/intro_bird/bird_ipa[6]
c_blanche,2,uuid:76695078-90d7-4f25-8f14-465feae0f853,uuid:76695078-90d7-4f25-8f14-465feae0f853/intro_bird/bird_ipa[1]
g_aigrette,12,uuid:76695078-90d7-4f25-8f14-465feae0f853,uuid:76695078-90d7-4f25-8f14-465feae0f853/intro_bird/bird_ipa[2]
h_cendre,10,uuid:76695078-90d7-4f25-8f14-465feae0f853,uuid:76695078-90d7-4f25-8f14-465feae0f853/intro_bird/bird_ipa[3]
cormo,40,uuid:76695078-90d7-4f25-8f14-465feae0f853,uuid:76695078-90d7-4f25-8f14-465feae0f853/intro_bird/bird_ipa[4]
m_rieuse,30,uuid:76695078-90d7-4f25-8f14-465feae0f853,uuid:76695078-90d7-4f25-8f14-465feae0f853/intro_bird/bird_ipa[5]
h_cendre,2,uuid:1fda66be-ab71-448d-ac63-05bb145b1717,uuid:1fda66be-ab71-448d-ac63-05bb145b1717/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:1fda66be-ab71-448d-ac63-05bb145b1717,uuid:1fda66be-ab71-448d-ac63-05bb145b1717/intro_bird/bird_ipa[2]
h_cendre,4,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67/intro_bird/bird_ipa[1]
g_aigrette,1,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67/intro_bird/bird_ipa[2]
cormo,1,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67,uuid:21126b04-d3dc-459f-bed9-b2ef5431ef67/intro_bird/bird_ipa[3]
h_cendre,5,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d/intro_bird/bird_ipa[1]
c_blanche,1,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d/intro_bird/bird_ipa[2]
cormo,4,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d,uuid:374369c3-0e7d-43f7-a730-4d8e9cd38f7d/intro_bird/bird_ipa[3]
c_tuber,22,uuid:82ce88b3-d011-497e-9452-93119b229121,uuid:82ce88b3-d011-497e-9452-93119b229121/intro_bird/bird_ipa[1]
h_cendre,3,uuid:997df86b-aa1f-4998-9e39-64f66cc12ac4,uuid:997df86b-aa1f-4998-9e39-64f66cc12ac4/intro_bird/bird_ipa[1]
c_tuber,2,uuid:997df86b-aa1f-4998-9e39-64f66cc12ac4,uuid:997df86b-aa1f-4998-9e39-64f66cc12ac4/intro_bird/bird_ipa[2]
g_casta,1,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa/intro_bird/bird_ipa[1]
g_aigrette,7,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa/intro_bird/bird_ipa[2]
h_cendre,4,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa,uuid:1baa3212-b24f-4fa2-aa0f-1454bf90e5aa/intro_bird/bird_ipa[3]
g_aigrette,1,uuid:c5fbb661-77cf-4db9-84d3-b92eb921a33f,uuid:c5fbb661-77cf-4db9-84d3-b92eb921a33f/intro_bird/bird_ipa[1]
h_cendre,1,uuid:c5fbb661-77cf-4db9-84d3-b92eb921a33f,uuid:c5fbb661-77cf-4db9-84d3-b92eb921a33f/intro_bird/bird_ipa[2]
cormo,1,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[1]
c_tuber,1,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[2]
h_cendre,12,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[3]
g_aigrette,17,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[4]
c_blanche,1,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[5]
m_rieuse,47,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[6]
"",,uuid:dbeed739-d051-47fc-82ac-9f7209a38165,uuid:dbeed739-d051-47fc-82ac-9f7209a38165/intro_bird/bird_ipa[7]
m_rieuse,3,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87/intro_bird/bird_ipa[1]
h_cendre,3,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87,uuid:2f7cf951-1e6c-4561-80a3-b5d2b9fa0a87/intro_bird/bird_ipa[2]
